SET,STIMULUS,TIME
--,PALATE_IMAGE,2015-08-28 12:02:12.548000
--,START,2015-08-28 12:02:12.548000
--,PALATE_IMAGE,2015-08-28 12:11:40.177000
1,sh,2015-08-28 12:11:41.273000
1,a,2015-08-28 12:12:13.231000
1,﻿s,2015-08-28 12:12:34.943000
1,r,2015-08-28 12:12:35.408000
1,l,2015-08-28 12:13:05.453000
1,ah,2015-08-28 12:13:17.941000
1,t,2015-08-28 12:13:27.814000
1,k,2015-08-28 12:13:47.908000
1,th,2015-08-28 12:14:00.301000
2,l,2015-08-28 12:14:17.096000
2,﻿s,2015-08-28 12:14:28.347000
2,a,2015-08-28 12:14:39.408000
2,sh,2015-08-28 12:14:50.753000
2,ah,2015-08-28 12:15:02.887000
2,k,2015-08-28 12:15:17.228000
2,r,2015-08-28 12:15:28.553000
2,th,2015-08-28 12:15:56.813000
2,t,2015-08-28 12:16:08.451000
3,a,2015-08-28 12:16:18.787000
3,t,2015-08-28 12:16:29.657000
3,sh,2015-08-28 12:16:41.017000
3,r,2015-08-28 12:16:54.038000
3,ah,2015-08-28 12:17:06.182000
3,th,2015-08-28 12:17:16.970000
3,l,2015-08-28 12:17:28.431000
3,﻿s,2015-08-28 12:17:39.174000
3,k,2015-08-28 12:17:50.036000
--,END,2015-08-28 12:18:01.430000
